Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Temperature difference [K],Power [W],Type,Machine failure
298.4,308.2,1478,43.5,206,9.800000000000011,6732.747215908285,H,0
298.4,308.2,1499,40.0,211,9.800000000000011,6278.996516974799,M,0
298.4,308.2,1471,47.0,214,9.800000000000011,7240.009709707918,L,0
298.4,308.2,1282,60.7,216,9.800000000000011,8149.019072048613,L,1
298.3,308.1,1412,52.3,218,9.800000000000011,7733.302588174587,L,1
298.3,308.1,1586,35.5,0,9.800000000000011,5896.036372502204,L,0
298.4,308.2,1468,43.8,2,9.800000000000011,6733.312702585932,M,0
298.5,308.3,1440,43.6,5,9.800000000000011,6574.725105432719,M,0
298.5,308.4,1733,26.0,8,9.899999999999977,4718.4627261816295,L,0
298.4,308.2,1612,32.6,10,9.800000000000011,5503.148795244264,H,0
298.4,308.3,1458,42.9,15,9.900000000000034,6550.032187175502,H,0
298.4,308.3,1433,62.3,20,9.900000000000034,9348.950386087232,L,1
298.4,308.3,1318,59.1,22,9.900000000000034,8157.019661339754,L,0
298.4,308.2,1610,35.0,24,9.800000000000011,5900.958200992827,M,0
298.2,308.1,1462,50.8,27,9.900000000000034,7777.494324835084,L,0
298.1,308.0,1924,20.8,29,9.899999999999977,4190.800824084688,M,0
298.2,308.0,1591,33.7,32,9.800000000000011,5614.727694324262,M,0
298.2,308.1,1306,58.3,35,9.900000000000034,7973.341210859871,L,0
298.2,308.1,1382,43.5,37,9.900000000000034,6295.437518528586,L,0
298.2,308.1,1618,34.7,39,9.900000000000034,5879.4487632912505,L,0
298.2,308.2,1988,21.4,41,10.0,4455.1134860067095,L,0
298.2,308.2,1436,50.2,43,10.0,7548.953931261938,L,0
298.2,308.3,1304,49.8,45,10.100000000000023,6800.41712166661,L,0
298.2,308.3,1475,49.9,47,10.100000000000023,7707.635776194758,L,0
298.2,308.3,1824,24.2,49,10.100000000000023,4622.413766785878,H,0
298.1,308.2,1342,48.1,54,10.099999999999966,6759.681136925063,M,0
298.1,308.2,1485,40.7,57,10.099999999999966,6329.209639554678,L,0
298.2,308.2,1667,30.6,59,10.0,5341.775652604869,L,0
298.2,308.2,1446,38.2,61,10.0,5784.426057495672,L,0
298.1,308.3,1301,56.0,63,10.199999999999989,7629.462478997933,L,0
298.2,308.4,1379,43.1,65,10.199999999999989,6224.008173561467,L,0
298.3,308.5,1606,33.6,67,10.199999999999989,5650.845537865033,L,0
298.3,308.4,1539,43.4,69,10.099999999999966,6994.504715805388,M,0
298.2,308.4,1477,49.9,72,10.199999999999989,7718.086807755699,L,0
298.2,308.4,1666,34.6,74,10.199999999999989,6036.423676215621,L,0
298.2,308.4,1398,51.8,76,10.199999999999989,7583.42767464733,H,0
298.2,308.4,1678,34.6,81,10.199999999999989,6079.903318541303,H,0
298.2,308.5,2678,10.7,86,10.300000000000011,3000.702695051803,M,1
298.3,308.5,1453,42.9,89,10.199999999999989,6527.569799702335,L,0
298.3,308.6,1432,49.5,91,10.300000000000011,7422.955121901963,H,0
298.4,308.6,1527,40.9,96,10.200000000000045,6540.199002169767,M,0
298.4,308.7,1588,35.0,99,10.300000000000011,5820.32398955069,L,0
298.4,308.6,1433,47.1,101,10.200000000000045,7067.986567972852,L,0
298.4,308.6,1609,35.0,103,10.200000000000045,5897.293009563639,L,0
298.3,308.5,1575,41.2,105,10.199999999999989,6795.264909714723,L,0
298.4,308.5,1636,35.7,107,10.100000000000023,6116.178241714753,M,0
298.4,308.5,1490,37.9,110,10.100000000000023,5913.6292913623065,L,0
298.4,308.5,1741,32.8,112,10.100000000000023,5980.000672157147,L,0
298.5,308.6,1344,53.0,114,10.100000000000023,7459.397596683605,M,0
298.5,308.7,1609,35.3,117,10.199999999999989,5947.841235359898,L,0
298.4,308.7,1421,60.7,119,10.300000000000011,9032.571061919718,M,1
298.4,308.6,1591,36.7,122,10.200000000000045,6114.555085510398,L,0
298.4,308.6,1477,44.0,124,10.200000000000045,6805.527445716449,L,0
298.4,308.7,1523,36.1,126,10.300000000000011,5757.523552405431,L,0
298.5,308.7,1575,33.9,128,10.199999999999989,5591.249525226434,L,0
298.4,308.7,1344,52.9,130,10.300000000000011,7445.323261595522,H,0
298.4,308.7,1386,44.9,135,10.300000000000011,6516.856968753595,L,0
298.3,308.6,1589,37.1,137,10.300000000000011,6173.428531838672,M,0
298.3,308.6,1548,40.3,140,10.300000000000011,6532.879091286903,L,0
298.3,308.6,1499,38.3,142,10.300000000000011,6012.13916500337,L,0
298.3,308.5,1664,31.6,144,10.199999999999989,5506.416051603998,L,0
298.3,308.6,1447,38.1,146,10.300000000000011,5773.2734035754265,L,0
298.3,308.5,1434,46.2,148,10.199999999999989,6937.767552481556,M,0
298.3,308.5,1416,52.7,151,10.199999999999989,7814.523230245396,L,0
298.4,308.5,1827,24.3,153,10.100000000000023,4649.148720267927,H,0
298.4,308.6,1304,45.0,158,10.200000000000045,6144.955230421636,L,0
298.4,308.6,1569,34.4,160,10.200000000000045,5652.102174926468,L,0
298.3,308.6,1584,29.3,162,10.300000000000011,4860.169498809553,L,0
298.3,308.5,1362,53.8,164,10.199999999999989,7673.40288824614,L,0
298.3,308.4,1329,49.2,166,10.099999999999966,6847.28968405817,L,0
298.3,308.5,1539,36.1,168,10.199999999999989,5818.009682962546,L,0
298.3,308.5,1629,37.1,170,10.199999999999989,6328.832648436246,M,0
298.3,308.5,1538,32.2,173,10.199999999999989,5186.099264643983,L,0
298.3,308.6,1570,34.8,175,10.300000000000011,5721.468540717731,L,0
298.3,308.4,1408,43.1,177,10.099999999999966,6354.897395485528,L,0
298.2,308.4,1424,47.6,179,10.199999999999989,7098.156329422827,L,0
298.2,308.4,1512,34.9,181,10.199999999999989,5525.935813958303,L,0
298.2,308.4,1478,42.9,183,10.199999999999989,6639.881737068171,L,0
298.1,308.3,1680,33.7,185,10.199999999999989,5928.8136558546585,M,0
298.1,308.3,1495,38.7,188,10.199999999999989,6058.718512080595,L,0
298.0,308.1,1552,36.6,190,10.100000000000023,5948.417194013057,M,0
297.9,308.1,1393,50.3,193,10.200000000000045,7337.493329748809,L,0
298.0,308.2,1611,30.6,195,10.199999999999989,5162.32788023182,L,0
298.0,308.1,1339,51.6,197,10.100000000000023,7235.339208629582,M,0
298.0,308.1,1777,24.3,200,10.100000000000023,4521.91421779754,L,0
298.0,308.2,1348,58.8,202,10.199999999999989,8300.33911819652,L,1
298.0,308.2,1442,44.1,204,10.199999999999989,6659.359611520428,L,0
298.0,308.2,1395,49.1,206,10.199999999999989,7172.727267043536,M,0
297.9,308.1,1627,31.4,209,10.200000000000045,5349.901905602154,M,0
297.9,308.1,1585,33.5,212,10.200000000000045,5560.3571974661345,L,0
298.0,308.2,1469,45.5,214,10.199999999999989,6999.4160723205,L,0
298.0,308.3,1362,56.8,216,10.300000000000011,8101.2878076650695,L,1
298.0,308.3,1405,56.2,218,10.300000000000011,8268.776584003457,L,1
298.0,308.3,1662,32.7,0,10.300000000000011,5691.246419390198,L,0
298.0,308.2,1466,42.6,2,10.199999999999989,6539.916258830944,M,0
298.0,308.2,1620,35.8,5,10.199999999999989,6073.326917919787,L,0
298.0,308.2,1357,48.2,7,10.199999999999989,6849.446911013634,L,0
298.0,308.2,1514,37.9,9,10.199999999999989,6008.8823806191485,L,0
298.0,308.2,1489,40.4,11,10.199999999999989,6299.479701076205,L,0
298.1,308.3,1331,63.0,13,10.199999999999989,8781.065626048829,L,0
298.0,308.0,1615,29.5,15,10.0,4989.110933288391,L,0
298.1,308.2,1482,37.9,17,10.099999999999966,5881.878261610027,L,0
298.1,308.2,1420,63.9,19,10.099999999999966,9502.061140047686,M,1
298.2,308.3,1522,49.1,22,10.100000000000023,7825.728244043198,M,0
298.1,308.2,1654,32.1,25,10.099999999999966,5559.927846470144,L,0
298.1,308.2,1736,26.8,27,10.099999999999966,4872.065662991146,M,0
298.0,308.1,1587,32.3,30,10.100000000000023,5367.945119409271,M,0
298.1,308.2,1390,47.5,33,10.099999999999966,6914.1218317755365,L,0
298.0,308.1,1454,37.1,35,10.100000000000023,5648.939638321855,L,0
298.0,308.1,1440,43.7,37,10.100000000000023,6589.80475016995,H,0
297.9,308.0,1954,21.1,42,10.100000000000023,4317.532671730501,L,0
297.9,308.0,1800,24.8,44,10.100000000000023,4674.689868541612,H,0
298.0,308.0,1524,37.0,49,10.0,5904.937551687375,L,0
298.0,308.0,1520,39.6,51,10.0,6303.2915001625615,H,0
298.1,308.1,1452,40.8,56,10.0,6203.765844896836,M,0
298.1,308.1,1484,40.4,59,10.0,6278.326310542034,L,0
298.1,308.0,1426,46.0,61,9.899999999999977,6869.197056829202,L,0
298.1,308.0,1652,28.5,63,9.899999999999977,4930.415510543821,L,0
298.0,308.0,1401,54.7,65,10.0,8025.16701766859,L,0
298.0,307.9,1750,26.6,67,9.899999999999977,4874.704600820162,M,0
298.0,308.0,1479,50.7,70,10.0,7852.442253574225,H,0
298.0,308.0,1620,29.4,75,10.0,4987.5924968391555,M,0
298.0,308.1,1819,23.4,78,10.100000000000023,4457.354488766269,L,0
298.1,308.1,1456,43.7,80,10.0,6663.024802949617,M,0
298.1,308.0,1626,36.5,83,9.899999999999977,6215.012746596688,L,0
298.1,308.1,1390,49.8,85,10.0,7248.910888893088,M,0
298.2,308.2,1469,43.0,88,10.0,6614.832771643549,L,0
298.2,308.3,2051,19.2,90,10.100000000000023,4123.780180808106,L,0
298.2,308.3,1568,36.0,92,10.100000000000023,5911.2207369945545,L,0
298.2,308.3,1589,33.2,94,10.100000000000023,5524.469737386628,L,0
298.2,308.3,1805,31.6,96,10.100000000000023,5973.005392515154,L,0
298.2,308.4,1385,42.2,98,10.199999999999989,6120.555527478756,H,0
298.1,308.4,1436,46.7,103,10.299999999999955,7022.632442030528,L,0
298.1,308.4,1438,45.6,105,10.299999999999955,6866.767558510426,L,0
298.0,308.3,1473,42.6,107,10.300000000000011,6571.143689807627,L,0
298.1,308.4,1335,40.2,109,10.299999999999955,5619.9950980067815,L,0
298.1,308.5,1392,44.8,111,10.399999999999977,6530.491480870174,H,0
298.1,308.5,1372,51.1,116,10.399999999999977,7341.818255635252,M,0
298.1,308.6,1716,30.7,119,10.5,5516.762363409821,M,0
298.0,308.5,1395,46.2,122,10.5,6749.083497706953,L,0
298.0,308.5,1713,25.3,124,10.5,4538.438995155423,L,0
297.9,308.5,2129,18.7,126,10.600000000000023,4169.134306750431,H,0
297.8,308.3,1567,35.6,131,10.5,5841.812483301244,M,0
297.8,308.4,1622,38.3,134,10.599999999999966,6505.463459396576,L,0
297.7,308.4,1740,27.1,136,10.699999999999989,4937.955332912437,L,0
297.8,308.4,1512,35.1,138,10.599999999999966,5557.603067906488,H,0
297.8,308.4,1479,43.5,143,10.599999999999966,6737.302525255991,M,0
297.8,308.4,1737,27.5,146,10.599999999999966,5002.200902678348,L,0
297.8,308.4,2129,19.2,148,10.599999999999966,4280.608486075309,L,0
297.8,308.4,1374,47.1,150,10.599999999999966,6776.980840470831,L,0
297.8,308.4,1579,36.6,152,10.599999999999966,6051.9012560223055,M,0
297.9,308.5,1305,47.2,155,10.600000000000023,6450.3180363505635,L,0
297.9,308.5,1449,40.8,157,10.600000000000023,6190.948146870191,M,0
298.0,308.6,1526,41.8,160,10.600000000000023,6679.738075866714,H,0
298.0,308.6,1453,44.1,165,10.600000000000023,6710.159164728975,M,0
297.9,308.6,1468,36.0,168,10.700000000000045,5534.229618563781,L,0
298.0,308.6,1313,50.8,170,10.600000000000023,6984.849554383354,L,0
297.9,308.5,1300,53.0,172,10.600000000000023,7215.191127744558,M,0
297.9,308.4,1646,40.6,175,10.5,6998.1699072345755,L,0
297.8,308.4,1714,33.2,177,10.599999999999966,5959.056721133215,L,0
297.8,308.4,1685,28.4,179,10.599999999999966,5011.259161496199,L,0
297.8,308.4,1512,39.9,181,10.599999999999966,6317.617162662931,L,0
297.8,308.4,1612,32.1,183,10.599999999999966,5418.744672617819,L,0
297.8,308.4,1550,38.2,185,10.599999999999966,6200.456700635056,H,0
297.8,308.4,1518,32.5,190,10.599999999999966,5166.349118828415,L,0
297.8,308.5,1448,40.0,192,10.699999999999989,6065.368216530695,L,0
297.8,308.5,1561,46.3,194,10.699999999999989,7568.546997444826,L,0
297.8,308.5,1488,41.9,196,10.699999999999989,6528.983516396452,M,0
297.8,308.5,1699,27.8,199,10.699999999999989,4946.144417762795,L,0
297.7,308.5,1501,41.4,201,10.800000000000011,6507.432190792826,L,0
297.7,308.5,1373,56.7,203,10.800000000000011,8152.338688285906,L,1
297.6,308.4,1703,31.4,205,10.799999999999955,5599.805129219711,H,0
297.7,308.5,1720,29.9,210,10.800000000000011,5385.527566293862,H,0
297.6,308.4,1398,41.9,215,10.799999999999955,6134.085319840215,M,0
297.6,308.4,1391,51.9,218,10.799999999999955,7560.022809378086,M,0
297.6,308.3,1538,40.2,0,10.699999999999989,6474.571131636277,M,0
297.5,308.2,1647,31.3,3,10.699999999999989,5398.4185681490935,L,0
297.5,308.1,1469,44.8,5,10.600000000000023,6891.732748130953,M,0
297.4,308.1,1749,25.9,8,10.700000000000045,4743.710659140979,L,0
297.6,308.2,1995,20.5,10,10.599999999999966,4282.776185006285,M,0
297.6,308.3,1742,27.7,13,10.699999999999989,5053.084231690991,L,0
297.5,308.2,1563,38.2,15,10.699999999999989,6252.460531027478,L,0
297.5,308.2,1713,32.2,17,10.699999999999989,5776.195084743266,M,0
297.4,308.1,1474,39.4,20,10.700000000000045,6081.662610427314,L,0
297.4,308.2,1530,32.6,22,10.800000000000011,5223.21194585839,M,0
297.4,308.2,1471,46.5,25,10.800000000000011,7162.988329817408,L,0
297.5,308.3,1388,48.6,27,10.800000000000011,7064.059577155866,L,0
297.5,308.2,2448,13.8,29,10.699999999999989,3537.6846553543946,M,0
297.5,308.3,1585,32.9,32,10.800000000000011,5460.768710347337,L,0
297.5,308.3,1459,45.2,34,10.800000000000011,6905.932746925179,M,0
297.5,308.3,1544,40.8,37,10.800000000000011,6596.841917713991,L,0
297.6,308.3,1617,31.7,39,10.699999999999989,5367.819455703128,L,0
297.6,308.3,1595,34.3,41,10.699999999999989,5729.060722963907,L,0
297.6,308.3,1400,44.3,43,10.699999999999989,6494.719212521298,H,0
297.6,308.4,1611,31.0,48,10.799999999999955,5229.809290430929,M,0
297.6,308.4,1507,46.0,51,10.799999999999955,7259.382864405055,M,0
297.5,308.3,1674,30.0,54,10.800000000000011,5259.026102109314,H,0
297.6,308.3,1658,34.3,59,10.699999999999989,5955.3496418019795,L,0
297.6,308.3,1623,36.9,61,10.699999999999989,6271.529998434768,L,0
297.6,308.4,1398,48.9,63,10.799999999999955,7158.872843441205,M,0
297.6,308.4,1517,34.2,66,10.799999999999955,5433.007503265117,L,0
297.6,308.3,1467,36.7,68,10.699999999999989,5637.996423911851,M,0
297.6,308.3,1567,34.6,71,10.699999999999989,5677.716627028738,M,0
297.5,308.3,1521,38.2,74,10.800000000000011,6084.448155913496,M,0
297.5,308.3,1596,36.8,77,10.800000000000011,6150.4844334919535,L,0
297.6,308.3,1640,30.9,79,10.699999999999989,5306.778310443879,H,0
297.6,308.3,1438,47.8,84,10.699999999999989,7198.058975806981,L,0
297.6,308.4,1407,55.2,86,10.799999999999955,8133.206389025544,L,0
297.6,308.4,1353,57.5,88,10.799999999999955,8146.935148921731,L,0
297.6,308.5,1552,40.9,90,10.899999999999977,6647.274951779618,M,0
297.6,308.4,1569,38.3,93,10.799999999999955,6292.892828479178,M,0
297.5,308.4,1489,39.5,96,10.899999999999977,6159.144757240349,L,0
297.5,308.4,1587,36.1,98,10.899999999999977,5999.468074633892,H,0
297.5,308.3,1622,37.2,103,10.800000000000011,6318.6224723120795,M,0
297.5,308.4,1604,38.1,106,10.899999999999977,6399.675562774695,L,0
297.4,308.3,1405,51.7,108,10.900000000000034,7606.685932259408,M,0
297.4,308.3,1412,42.0,111,10.900000000000034,6210.300357616304,L,0
297.4,308.3,1431,43.0,113,10.900000000000034,6443.720691778025,L,0
297.4,308.2,1533,37.4,115,10.800000000000011,6004.023383981596,L,0
297.4,308.2,1401,51.9,117,10.800000000000011,7614.3723622851885,M,0
297.4,308.2,1424,53.9,120,10.800000000000011,8037.618196552319,M,0
297.3,308.2,1754,29.4,123,10.899999999999977,5400.146444108567,L,0
